Date,AMAR3,SPXI11,MGLU3,BOVA11,BRFS3,GGBR4,VALE3
2015-01-30,13.327272415161133,53.640079498291016,0.21250000596046448,45.61000061035156,64.37999725341797,9.270000457763672,18.610000610351562
2015-02-02,13.281818389892578,54.784400939941406,0.21375000476837158,46.27000045776367,64.19999694824219,9.479999542236328,19.739999771118164
2015-02-03,13.018180847167969,55.55364990234375,0.20499999821186066,47.63999938964844,64.77999877929688,9.65999984741211,20.8700008392334
2015-02-04,13.818181037902832,56.10614013671875,0.20281200110912323,47.77000045776367,65.0,9.5600004196167,20.549999237060547
2015-02-05,13.909090042114258,56.38536834716797,0.20000000298023224,47.880001068115234,65.0,9.65999984741211,20.450000762939453
2015-02-06,13.62727165222168,57.132381439208984,0.190311998128891,47.29999923706055,64.5999984741211,9.770000457763672,20.420000076293945
2015-02-09,13.690909385681152,57.09000015258789,0.18843699991703033,47.91999816894531,64.5999984741211,10.34000015258789,21.59000015258789
2015-02-10,13.681818008422852,58.63764953613281,0.19187499582767487,47.15999984741211,64.69999694824219,9.75,20.399999618530273
2015-02-11,13.17272663116455,59.2599983215332,0.18125000596046448,46.95000076293945,63.2400016784668,10.130000114440918,21.100000381469727
2015-02-12,13.17272663116455,59.150001525878906,0.18437500298023224,48.130001068115234,64.05000305175781,9.84000015258789,21.579999923706055
2015-02-13,13.199999809265137,59.27000045776367,0.190311998128891,49.38999938964844,63.9900016784668,10.140000343322754,22.479999542236328
2015-02-18,13.190909385681152,59.68000030517578,0.1912499964237213,49.90999984741211,64.81999969482422,10.279999732971191,22.709999084472656
2015-02-19,13.718180656433105,60.25,0.19875000417232513,49.79999923706055,65.98999786376953,10.109999656677246,22.100000381469727
2015-02-20,13.63636302947998,60.56999969482422,0.19843700528144836,49.84000015258789,65.5999984741211,10.180000305175781,22.6200008392334
2015-02-23,13.63636302947998,60.650001525878906,0.2006250023841858,49.79999923706055,66.29000091552734,10.0,21.6200008392334
2015-02-24,13.63636302947998,60.1868896484375,0.20624999701976776,50.40999984741211,66.69000244140625,10.09000015258789,22.040000915527344
2015-02-25,13.972726821899414,60.79999923706055,0.20125000178813934,50.36000061035156,66.4000015258789,10.210000038146973,22.139999389648438
2015-02-26,13.581817626953125,60.92237854003906,0.2056249976158142,50.310001373291016,67.0,10.1899995803833,21.25
2015-02-27,13.590909004211426,60.29999923706055,0.1890619993209839,50.0099983215332,64.43000030517578,10.140000343322754,21.25
2015-03-02,13.5,61.290000915527344,0.1899999976158142,49.59000015258789,63.900001525878906,9.800000190734863,20.559999465942383
2015-03-03,13.409090042114258,61.65999984741211,0.1837500035762787,49.83000183105469,64.4000015258789,10.010000228881836,20.790000915527344
2015-03-04,13.13636302947998,62.709999084472656,0.1734369993209839,49.06999969482422,62.70000076293945,10.460000038146973,20.389999389648438
2015-03-05,13.727272033691406,63.43000030517578,0.17156200110912323,48.95000076293945,63.689998626708984,10.579999923706055,19.5
2015-03-06,13.663636207580566,63.79999923706055,0.1665620058774948,48.54999923706055,63.310001373291016,10.729999542236328,19.59000015258789
2015-03-09,13.0,65.19999694824219,0.15843699872493744,47.75,63.400001525878906,11.0,19.540000915527344
2015-03-10,12.690909385681152,64.01000213623047,0.1653120070695877,46.95000076293945,62.41999816894531,10.899999618530273,19.100000381469727
2015-03-11,12.818181037902832,64.0,0.1640619933605194,47.52000045776367,62.290000915527344,10.890000343322754,18.860000610351562
2015-03-12,13.0,65.4380874633789,0.171875,47.45000076293945,62.56999969482422,10.84000015258789,18.860000610351562
2015-03-13,13.0,67.0999984741211,0.16437500715255737,47.209999084472656,62.36000061035156,10.84000015258789,18.8799991607666
2015-03-16,12.736363410949707,67.81999969482422,0.15937499701976776,47.380001068115234,62.09000015258789,10.75,18.899999618530273
2015-03-17,12.699999809265137,68.30000305175781,0.1574999988079071,48.91999816894531,62.900001525878906,11.09000015258789,19.8799991607666
2015-03-18,13.081817626953125,67.74369049072266,0.15593700110912323,50.099998474121094,63.95000076293945,11.399999618530273,19.59000015258789
2015-03-19,12.62727165222168,69.0,0.159061998128891,49.54999923706055,63.970001220703125,11.15999984741211,19.149999618530273
2015-03-20,12.545454025268555,68.25,0.15968699753284454,50.31999969482422,63.75,11.039999961853027,20.25
2015-03-23,12.472726821899414,66.62999725341797,0.15968699753284454,50.43000030517578,63.0,11.100000381469727,20.3799991607666
2015-03-24,12.272727012634277,65.67743682861328,0.15843699872493744,50.040000915527344,63.099998474121094,10.90999984741211,19.579999923706055
2015-03-25,12.67272663116455,65.69193267822266,0.15625,50.290000915527344,63.689998626708984,11.119999885559082,19.760000228881836
2015-03-26,12.509090423583984,65.91536712646484,0.15562500059604645,49.11000061035156,62.880001068115234,10.819999694824219,18.920000076293945
2015-03-27,12.727272033691406,66.83999633789062,0.15468700230121613,48.65999984741211,63.279998779296875,9.960000038146973,18.350000381469727
2015-03-30,12.872727394104004,67.37999725341797,0.1574999988079071,49.81999969482422,63.0,10.34000015258789,18.6200008392334
2015-03-31,12.818181037902832,66.67083740234375,0.159061998128891,49.5,63.29999923706055,10.100000381469727,17.940000534057617
2015-04-01,13.263635635375977,65.5199966430664,0.16374999284744263,50.79999923706055,63.36000061035156,10.199999809265137,17.540000915527344
2015-04-02,13.318181037902832,64.91999816894531,0.171875,51.5,63.45000076293945,10.039999961853027,18.0
2015-04-06,13.436363220214844,65.26000213623047,0.17156200110912323,52.099998474121094,64.5,10.0,18.1299991607666
2015-04-07,13.618181228637695,65.11815643310547,0.16968700289726257,52.20000076293945,64.69999694824219,9.890000343322754,19.0
2015-04-08,13.190909385681152,63.951480865478516,0.15812499821186066,52.220001220703125,65.01000213623047,9.65999984741211,18.75
2015-04-09,13.254545211791992,64.38999938964844,0.15656200051307678,52.27000045776367,65.25,9.699999809265137,18.799999237060547
2015-04-10,13.645454406738281,65.14482879638672,0.15843699872493744,52.650001525878906,63.95000076293945,9.59000015258789,18.420000076293945
2015-04-13,13.854544639587402,65.6085205078125,0.1574999988079071,52.61000061035156,63.439998626708984,9.699999809265137,18.239999771118164
2015-04-14,13.409090042114258,64.38999938964844,0.15718699991703033,52.529998779296875,62.95000076293945,9.760000228881836,18.75
2015-04-15,13.390909194946289,64.26885986328125,0.15843699872493744,53.25,62.869998931884766,10.0,18.600000381469727
