Date,BIDI11,NTCO3
2019-12-18,14.818278312683105,36.7599983215332
2019-12-19,14.581798553466797,38.849998474121094
2019-12-20,14.555152893066406,39.040000915527344
2019-12-23,14.45190143585205,39.849998474121094
2019-12-26,14.651742935180664,39.439998626708984
2019-12-27,14.8316011428833,38.869998931884766
2019-12-30,15.614315032958984,38.66999816894531
2020-01-02,15.151348114013672,38.33000183105469
2020-01-03,15.504402160644531,41.0
2020-01-06,16.79338264465332,40.130001068115234
2020-01-07,17.52946662902832,40.779998779296875
2020-01-08,17.42621421813965,40.9900016784668
2020-01-09,16.826690673828125,42.0
2020-01-10,18.26222038269043,42.88999938964844
2020-01-13,18.172292709350586,43.72999954223633
2020-01-14,17.845882415771484,44.2599983215332
2020-01-15,18.062379837036133,44.58000183105469
2020-01-16,18.848424911499023,45.40999984741211
2020-01-17,18.885061264038086,45.880001068115234
2020-01-20,18.878400802612305,46.5
2020-01-21,18.96832847595215,45.95000076293945
2020-01-22,18.172292709350586,47.75
2020-01-23,18.551992416381836,49.380001068115234
2020-01-24,18.152307510375977,49.18000030517578
2020-01-27,17.309640884399414,47.470001220703125
2020-01-28,16.98989486694336,49.040000915527344
2020-01-29,16.876649856567383,48.349998474121094
2020-01-30,15.924070358276367,48.95000076293945
2020-01-31,15.980691909790039,47.58000183105469
2020-02-03,16.123912811279297,47.790000915527344
2020-02-04,16.826690673828125,48.52000045776367
2020-02-05,16.570226669311523,48.5
2020-02-06,16.473636627197266,47.040000915527344
2020-02-07,16.05729866027832,45.56999969482422
2020-02-10,15.41114330291748,44.97999954223633
2020-02-11,15.960707664489746,47.79999923706055
2020-02-12,16.580217361450195,49.279998779296875
2020-02-13,16.23715591430664,49.16999816894531
2020-02-14,15.797504425048828,50.88999938964844
2020-02-17,15.484417915344238,50.619998931884766
2020-02-18,15.277915000915527,49.856109619140625
2020-02-19,15.414472579956055,50.346073150634766
2020-02-20,15.414472579956055,49.99610137939453
2020-02-21,15.487749099731445,48.4962158203125
2020-02-27,15.38782787322998,45.52644729614258
2020-02-28,14.881562232971191,45.50645065307617
2020-03-02,15.667606353759766,44.80650329589844
2020-03-03,14.881562232971191,44.49652862548828
2020-03-04,14.864908218383789,44.16655349731445
2020-03-05,13.565936088562012,41.24678039550781
2020-03-06,12.496781349182129,39.79689407348633
2020-03-09,9.825560569763184,35.9971923828125
2020-03-10,11.161170959472656,39.09695053100586
2020-03-11,9.742293357849121,35.90719985961914
2020-03-12,8.163541793823242,28.507776260375977
2020-03-13,9.992095947265625,32.9974250793457
2020-03-16,8.493281364440918,24.998050689697266
2020-03-17,8.72642993927002,27.837827682495117
2020-03-18,8.270124435424805,25.198034286499023
2020-03-19,8.626508712768555,25.88797950744629
2020-03-20,9.226035118103027,25.16803550720215
2020-03-23,9.156089782714844,21.248342514038086
2020-03-24,9.818899154663086,24.89805793762207
2020-03-25,10.258551597595215,28.89774513244629
2020-03-26,11.321044921875,28.997737884521484
2020-03-27,11.171162605285645,28.547773361206055
2020-03-30,10.831432342529297,27.427860260009766
2020-03-31,10.521677017211914,25.737991333007812
2020-04-01,10.165291786193848,23.188190460205078
2020-04-02,10.371794700622559,23.878137588500977
2020-04-03,9.445860862731934,23.678152084350586
2020-04-06,9.659026145935059,26.437936782836914
2020-04-07,9.499152183532715,28.957740783691406
2020-04-08,9.325956344604492,30.107650756835938
2020-04-09,9.765607833862305,28.977739334106445
2020-04-13,9.459183692932129,28.257795333862305
2020-04-14,9.659026145935059,29.777677536010742
2020-04-15,9.355932235717773,31.79751968383789
2020-04-16,9.036185264587402,32.327476501464844
2020-04-17,9.176074981689453,33.337398529052734
2020-04-20,9.209382057189941,33.45738983154297
2020-04-22,9.315963745117188,34.99726867675781
2020-04-23,9.82889175415039,34.5973014831543
2020-04-24,9.379246711730957,33.22740936279297
2020-04-27,9.266002655029297,35.397239685058594
2020-04-28,9.592411994934082,35.05726623535156
2020-04-29,9.629050254821777,36.31716537475586
2020-04-30,9.385909080505371,35.51722717285156
2020-05-04,9.056168556213379,34.397315979003906
2020-05-05,9.189396858215332,34.51730728149414
2020-05-06,9.092806816101074,36.497154235839844
2020-05-07,8.733092308044434,36.44715881347656
2020-05-08,8.583209991455078,35.69721603393555
2020-05-11,8.589872360229492,34.147335052490234
2020-05-12,8.366715431213379,32.04750061035156
2020-05-13,8.54990291595459,32.43000030517578
2020-05-14,8.852996826171875,33.2400016784668
2020-05-15,8.803035736083984,32.18000030517578
2020-05-18,9.325956344604492,33.36000061035156
2020-05-19,9.325956344604492,32.540000915527344
2020-05-20,8.756406784057617,33.709999084472656
2020-05-21,8.693122863769531,33.90999984741211
2020-05-22,9.049508094787598,34.099998474121094
2020-05-25,9.992095947265625,35.13999938964844
2020-05-26,11.057918548583984,36.08000183105469
2020-05-27,11.121203422546387,38.70000076293945
2020-05-28,10.858077049255371,37.7400016784668
2020-05-29,10.784802436828613,37.18000030517578
2020-06-01,11.574177742004395,37.970001220703125
2020-06-02,11.321044921875,38.0099983215332
2020-06-03,11.687420845031738,38.33000183105469
2020-06-04,11.740713119506836,37.90999984741211
2020-06-05,11.79067325592041,40.13999938964844
2020-06-08,11.687420845031738,41.290000915527344
2020-06-09,11.424296379089355,41.209999084472656
2020-06-10,10.824769973754883,40.849998474121094
2020-06-12,10.928022384643555,40.02000045776367
2020-06-15,11.104549407958984,40.58000183105469
2020-06-16,11.041266441345215,40.310001373291016
2020-06-17,11.251099586486816,41.91999816894531
2020-06-18,11.131195068359375,41.540000915527344
2020-06-19,10.961329460144043,42.22999954223633
