Date,AMAR,BIDI,SPXI11,MGLU,NTCO,BOVA,BRFS,GGBR,VALE3
2019-12-18,12.109999656677246,14.818278312683105,136.3000030517578,12.132499694824219,36.7599983215332,110.16000366210938,34.33000183105469,17.829999923706055,53.470001220703125
2019-12-19,12.1899995803833,14.581798553466797,136.8699951171875,12.154999732971191,38.849998474121094,110.81999969482422,34.369998931884766,18.270000457763672,54.0
2019-12-20,12.369999885559082,14.555152893066406,138.60000610351562,12.147500038146973,39.040000915527344,110.83999633789062,34.810001373291016,19.149999618530273,54.790000915527344
2019-12-23,12.789999961853027,14.45190143585205,137.49000549316406,12.1850004196167,39.849998474121094,111.66999816894531,34.529998779296875,19.459999084472656,54.58000183105469
2019-12-26,13.229999542236328,14.651742935180664,137.36000061035156,12.272500038146973,39.439998626708984,112.80999755859375,35.18000030517578,19.889999389648438,54.790000915527344
2019-12-27,13.180000305175781,14.8316011428833,137.14999389648438,12.182499885559082,38.869998931884766,112.16999816894531,35.2400016784668,19.8799991607666,53.599998474121094
2019-12-30,13.279999732971191,15.614315032958984,135.47000122070312,11.925000190734863,38.66999816894531,111.2300033569336,35.20000076293945,20.0,53.29999923706055
2020-01-02,13.460000038146973,15.151348114013672,137.0,12.332500457763672,38.33000183105469,114.23999786376953,35.880001068115234,20.760000228881836,54.33000183105469
2020-01-03,13.949999809265137,15.504402160644531,137.3300018310547,12.22249984741211,41.0,113.80000305175781,35.939998626708984,20.420000076293945,53.93000030517578
2020-01-06,13.630000114440918,16.79338264465332,138.05999755859375,12.232500076293945,40.130001068115234,112.58999633789062,35.56999969482422,20.3700008392334,53.61000061035156
2020-01-07,13.670000076293945,17.52946662902832,137.64999389648438,12.197500228881836,40.779998779296875,112.23999786376953,35.15999984741211,20.690000534057617,54.0
2020-01-08,13.869999885559082,17.42621421813965,138.3699951171875,12.572500228881836,40.9900016784668,111.94999694824219,36.5099983215332,20.770000457763672,54.0099983215332
2020-01-09,14.3100004196167,16.826690673828125,140.19000244140625,13.020000457763672,42.0,111.66000366210938,36.84000015258789,20.65999984741211,53.29999923706055
2020-01-10,14.289999961853027,18.26222038269043,140.2100067138672,12.949999809265137,42.88999938964844,111.27999877929688,36.34000015258789,20.940000534057617,53.36000061035156
2020-01-13,14.369999885559082,18.172292709350586,142.58999633789062,13.557499885559082,43.72999954223633,113.08000183105469,36.70000076293945,21.84000015258789,55.29999923706055
2020-01-14,14.1899995803833,17.845882415771484,141.97999572753906,13.5,44.2599983215332,113.31999969482422,36.54999923706055,21.420000076293945,55.63999938964844
2020-01-15,13.859999656677246,18.062379837036133,144.08999633789062,13.414999961853027,44.58000183105469,112.18000030517578,36.470001220703125,21.100000381469727,55.459999084472656
2020-01-16,13.569999694824219,18.848424911499023,145.3300018310547,13.364999771118164,45.40999984741211,112.3499984741211,35.869998931884766,21.299999237060547,55.16999816894531
2020-01-17,13.670000076293945,18.885061264038086,145.08999633789062,13.587499618530273,45.880001068115234,114.0999984741211,35.75,21.56999969482422,57.0
2020-01-20,13.6899995803833,18.878400802612305,145.6999969482422,14.0,46.5,114.41000366210938,36.04999923706055,22.270000457763672,57.36000061035156
2020-01-21,14.079999923706055,18.96832847595215,146.52999877929688,13.977499961853027,45.95000076293945,112.6500015258789,35.43000030517578,21.799999237060547,56.029998779296875
